Constituency,Seats,Electorate,Party,Candidates,Votes,%,Old Seats,New Seats,Seat Change
Hong Kah GRC,5,"129,073",People's Action Party,"Ahmad Khalis Abdul Ghani
Ang Mong Seng
John Chen
Amy Khor
Yeo Cheow Tong","96,450",79.74,5,3,-2
Hong Kah GRC,5,,Singapore Democratic Party,"Cheo Chai Chen
Lim Boon Heng
Lim Tung Hee
Sarry Bin Hassan
Wong Hong Toy","24,513",20.26,0,2,2
Jalan Besar GRC,5,"100,268",People's Action Party,"Heng Chee How
Lee Boon Yang
Loh Meng See
Lily Neo
Yaacob Ibrahim","68,309",74.48,5,3,-2
Jalan Besar GRC,5,,Singapore Democratic Alliance,"Fong Chin Leong
Lim Bak Chuan
Mohd Rahizan Bin Yaacob
Ng Kee How
Sin Kek Tong","23,391",25.51,0,2,2
Jurong GRC,5,"115,113",People's Action Party,"Foo Yee Shoon
Halimah Yacob
Lim Boon Heng
Ong Chit Chung
Tharman Shanmugaratnam","84,742",79.75,5,3,-2
Jurong GRC,5,,Singapore Democratic Party,"Chee Siok Chin
Chee Soon Juan
Karuppiah Ambalam Gandhi
Mohamed Isa Bin Abdul Aziz
Vincent Yeo","21,511",20.25,0,2,2
Tampines GRC,5,"125,432",People's Action Party,"Mah Bow Tan
Irene Ng
Ong Kian Min
Sin Boon Ann
Yatiman Bin Yusof","85,915",73.34,5,3,-2
Tampines GRC,5,,Singapore Democratic Alliance,"Abdul Rahim Bin Osman
Foo Kok Wah
Neo Ting Wei
Sebastian Teo
Yip Yew Weng","31,231",26.66,0,2,2
