,,,,,,,,,,
,Division,Seats,Voters,Party,Candidate(s),Votes,%,Sample counts,Swing,Margins
,Marine Parade GRC,5,"146,244", People's Action Party,"Goh Chok Tong
Fatimah Binte Abdul Lateef
Seah Kian Peng
Tan Chuan Jin
Edwin Tong","85,138",64.07 / 100,65 / 100,7.43,28.14%
,,,, Workers' Party,"Yee Jenn Jong
He Ting Ru
Firuz Khan
Dylan Ng
Terence Tan","47,753",35.93 / 100,35 / 100,7.43,
,Nee Soon GRC,5,"132,289", People's Action Party,"K. Shanmugam
Henry Kwek
Lee Bee Wah
Muhammad Faishal Ibrahim
Louis Ng","82,287",66.83 / 100,67 / 100,8.43,33.76%
,,,, Workers' Party,"Kenneth Foo
Gurmit Singh S/O Sadhu Singh
Luke Koh
Cheryl Loh
Ron Tan","40,841",33.17 / 100,33 / 100,8.43,
,Sembawang GRC,5,"144,672", People's Action Party,"Khaw Boon Wan
Lim Wee Kiak
Amrin Amin
Ong Ye Kung
Vikram Nair","96,718",72.28 / 100,72 / 100,8.38,44.56%
,,,, National Solidarity Party,"Abdul Rasheed S/O Y Abdul Kuthus
Kevryn Lim
Spencer Ng
Yadzeth Bin Haris
Eugene Yeo","37,087",27.72 / 100,28 / 100,8.38,
,Tampines GRC,5,"143,518", People's Action Party,"Heng Swee Keat
Baey Yam Keng
Cheng Li Hui
Desmond Choo
Masagos Zulkifli","95,305",72.07 / 100,72 / 100,14.85,44.14%
,,,, National Solidarity Party,"Lim Tean
Choong Hon Heng
Fong Chin Leong
Nor Lella
Sebastian Teo","36,943",27.93 / 100,28 / 100,14.85,
,Tanjong Pagar GRC,5,"130,752", People's Action Party,"Chan Chun Sing
Chia Shi-Lu
Indranee Thurai Rajah
Joan Pereira
Melvin Yong","90,635",77.71 / 100,78 / 100,N/A,55.42%
,,,, Singaporeans First,"Tan Jee Say
Ang Yong Guan
Chirag Praful Desai
Melvyn Chiu
Mohamad Fahmi Bin Ahmad Rais","25,998",22.29 / 100,22 / 100,N/A,
,Ang Mo Kio GRC,6,"187,771", People's Action Party,"Lee Hsien Loong
Ang Hin Kee
Darryl David
Gan Thiam Poh
Intan Azura Mokhtar
Koh Poh Koon","135,316",78.64 / 100,78 / 100,9.31,57.28%
,,,, Reform Party,"Gilbert Goh
Jesse Loo
Roy Ngerng
Osman Sulaiman
M Ravi
Siva Chandran","36,758",21.36 / 100,22 / 100,9.31,
,Pasir Ris–Punggol GRC,6,"187,396", People's Action Party,"Teo Chee Hean
Janil Puthucheary
Ng Chee Meng
Sun Xueling
Teo Ser Luck
Zainal Sapari","125,166",72.89 / 100,73 / 100,8.10,45.78%
,,,, Singapore Democratic Alliance,"Abu Mohamed
Harminder Pal Singh S/O Gurcharan Singh
Desmond Lim
Arthero Lim
Ong Teik Seng
Wong Way Weng","46,550",27.11 / 100,27 / 100,8.10,
